"Region","total_schools","total_students","total_teachers","ecce_schools","primary_schools","secondary_schools","ecce_teachers","primary_teachers","secondary_teachers","ecce_students","primary_students","secondary_students"
"National",2296,99573,4464,1154,870,272,1102,2174,1188,14697,58449,26427
"Torba",140,3313,163,66,54,20,52,94,17,532,2023,758
"Torres",14,397,20,6,6,2,7,12,1,43,235,119
"Ureparapara",10,98,9,4,4,2,3,6,0,25,73,0
"Motalava",16,549,25,8,6,2,7,14,4,95,313,141
"West Vanualava",20,371,28,12,6,2,11,17,0,86,285,0
"East Vanualava",20,659,28,8,8,4,5,11,12,88,272,299
"Mota",8,152,9,2,4,2,3,6,0,14,138,0
"East Gaua",28,807,27,16,10,2,10,17,0,156,452,199
"West Gaua",10,122,7,4,4,2,3,4,0,0,122,0
"Merelava",14,158,10,6,6,2,3,7,0,25,133,0
"Sanma",460,21594,1059,240,182,38,255,534,270,2871,13396,5327
"Luganville",80,8590,384,44,26,10,62,181,141,965,4929,2696
"North West Santo",24,655,31,14,8,2,7,17,7,82,455,118
"Big Bay Coast",30,727,36,14,14,2,10,26,0,110,617,0
"Big Bay Inland",32,747,59,12,18,2,14,38,7,68,610,69
"West Santo",30,484,39,16,12,2,21,18,0,98,386,0
"South Santo 1",30,1103,68,14,14,2,13,44,11,103,948,52
"South Santo 2",54,1913,93,34,18,2,32,48,13,281,1177,455
"East Santo",40,2795,136,14,20,6,19,50,67,273,1323,1199
"South East Santo",28,1360,55,16,10,2,23,17,15,315,612,433
"Canal Fanafo",44,1714,68,24,18,2,25,40,3,283,1312,119
"West Malo",40,898,58,24,14,2,20,38,0,196,702,0
"East Malo",28,608,32,14,10,4,9,17,6,97,325,186
"Penama",354,11473,548,196,124,34,174,239,135,2049,6720,2704
"West Ambae",50,1083,61,22,20,8,18,24,19,138,590,355
"North Ambae",38,729,38,22,14,2,14,20,4,177,460,92
"East Ambae",24,1041,50,12,8,4,4,17,29,93,358,590
"South Ambae",24,471,23,12,10,2,10,13,0,119,352,0
"North Maewo",20,733,29,12,6,2,12,12,5,121,470,142
"South Maewo",32,601,26,22,8,2,12,14,0,158,360,83
"North Pentecost",46,2529,108,22,18,6,35,47,26,422,1473,634
"Central Pentecost 1",28,1096,52,14,12,2,17,27,8,217,716,163
"Central Pentecost 2",46,2026,95,30,12,4,21,30,44,354,1027,645
"South Pentecost",46,1164,66,28,16,2,31,35,0,250,914,0
"Malampa",458,14420,772,236,172,50,212,370,190,2222,8139,4059
"North West Malekula",82,2067,131,40,34,8,45,65,21,336,1264,467
"North East Malekula",60,2140,110,36,16,8,24,51,35,306,1253,581
"Central Malekula",60,2588,129,34,22,4,35,57,37,408,1396,784
"South West Malekula",36,955,56,22,12,2,19,30,7,184,554,217
"South East Malekula",46,2153,89,26,16,4,19,42,28,305,1170,678
"South Malekula",40,1614,75,20,14,6,15,40,20,275,865,474
"North Ambrym",42,1010,64,18,18,6,18,31,15,129,614,267
"West Ambrym",36,950,47,14,16,6,14,18,15,117,491,342
"South East Ambrym",30,519,42,16,12,2,17,23,2,93,328,98
"Paama",26,424,29,10,12,4,6,13,10,69,204,151
"Shefa",460,32020,1227,190,188,82,243,587,397,4221,18133,9666
"Port Vila",144,17479,593,60,52,32,81,236,276,2338,9065,6076
"Vermali",10,715,46,2,6,2,8,21,17,42,466,207
"Vermaul",20,648,40,8,10,2,16,18,6,53,457,138
"Varisu",22,613,27,10,10,2,11,16,0,120,493,0
"South Epi",16,529,31,6,8,2,17,12,2,70,319,140
"North Tongoa",28,671,35,12,12,4,9,22,4,112,487,72
"Tongariki",8,118,7,2,4,2,2,5,0,26,92,0
"Makimae",14,381,22,4,8,2,9,10,3,32,225,124
"Nguna",22,642,37,12,8,2,15,18,4,95,394,153
"Emau",12,291,15,6,4,2,4,11,0,54,237,0
"Malorua",14,727,33,4,8,2,8,13,12,67,396,264
"North Efate",22,1662,66,8,10,4,13,35,18,168,776,718
"Mele",30,1580,49,16,8,6,12,37,0,283,1068,229
"Tanvasoko",8,222,2,4,2,2,2,0,0,60,148,14
"Ifira",6,199,10,2,2,2,0,6,4,0,122,77
"Pango",14,872,32,6,4,4,9,20,3,141,473,258
"Erakor",16,1863,84,6,6,4,8,31,45,158,891,814
"Eratap",42,2231,73,18,20,4,15,57,1,334,1637,260
"Eton",12,577,25,4,6,2,4,19,2,68,387,122
"Tafea",424,16753,695,226,150,48,166,350,179,2802,10038,3913
"North Erromango",15,456,25,8,5,2,5,14,6,106,203,147
"South Erromango",17,469,24,6,9,2,6,16,2,64,293,112
"Aniwa",8,141,5,4,2,2,2,3,0,29,112,0
"North Tanna",50,1534,61,26,18,6,21,34,6,298,1003,233
"West Tanna",84,4769,216,44,28,12,37,85,94,576,2251,1942
"Middle Bush Tanna",56,2356,101,28,24,4,22,65,14,379,1622,355
"South West Tanna",30,1962,52,18,10,2,16,31,5,316,1247,399
"Whitesands",100,3121,118,56,36,8,31,59,28,705,2101,315
"South Tanna",32,1112,46,18,10,4,15,23,8,185,762,165
"Futuna",10,265,13,6,2,2,2,6,5,22,130,113
"Aneityum",22,568,34,12,6,4,9,14,11,122,314,132
