"Region","total_schools_damaged","total_students_affected","ecce_schools_damaged","primary_schools_damaged","secondary_schools_damaged","ecce_students_affected","primary_students_affected","secondary_students_affected"
"National",574,32234,269,223,82,4578,18526,9130
"Malampa",46,1441,24,17,5,223,812,406
"North West Malekula",8,207,4,3,1,34,126,47
"North East Malekula",7,214,4,2,1,31,125,58
"Central Malekula",5,259,3,2,0,41,140,78
"South West Malekula",3,95,2,1,0,18,55,22
"South East Malekula",5,215,3,2,0,30,117,68
"South Malekula",4,161,2,1,1,28,86,47
"North Ambrym",5,101,2,2,1,13,61,27
"West Ambrym",4,95,1,2,1,12,49,34
"South East Ambrym",3,52,2,1,0,9,33,10
"Paama",2,42,1,1,0,7,20,15
"Shefa",317,22416,132,132,53,2955,12694,6767
"Port Vila",100,12236,42,36,22,1637,6346,4253
"Vermali",6,500,1,4,1,29,326,145
"Vermaul",14,454,6,7,1,37,320,97
"Varisu",15,429,7,7,1,84,345,0
"South Epi",11,370,4,6,1,49,223,98
"North Tongoa",19,469,8,8,3,78,341,50
"Tongariki",5,82,1,3,1,18,64,0
"Makimae",10,267,3,6,1,22,158,87
"Nguna",15,449,8,6,1,66,276,107
"Emau",8,204,4,3,1,38,166,0
"Malorua",10,509,3,6,1,47,277,185
"North Efate",16,1164,6,7,3,118,543,503
"Mele",21,1106,11,6,4,198,748,160
"Tanvasoko",5,156,3,1,1,42,104,10
"Ifira",3,139,1,1,1,0,85,54
"Pango",10,611,4,3,3,99,331,181
"Erakor",11,1305,4,4,3,111,624,570
"Eratap",30,1562,13,14,3,234,1146,182
"Eton",8,404,3,4,1,48,271,85
"Tafea",211,8377,113,74,24,1400,5020,1957
"North Erromango",7,229,4,2,1,53,102,74
"South Erromango",8,234,3,4,1,32,146,56
"Aniwa",4,70,2,1,1,14,56,0
"North Tanna",25,767,13,9,3,149,502,116
"West Tanna",42,2385,22,14,6,288,1126,971
"Middle Bush Tanna",28,1179,14,12,2,190,811,178
"South West Tanna",15,982,9,5,1,158,624,200
"Whitesands",50,1560,28,18,4,352,1050,158
"South Tanna",16,555,9,5,2,92,381,82
"Futuna",5,132,3,1,1,11,65,56
"Aneityum",11,284,6,3,2,61,157,66
