"Region","total_staple_financial","island_cabbage_financial","banana_financial","taro_financial","kumala_financial","manioc_financial","yam_financial"
"National",2158147110.46319,177801227.508838,203149086.410013,837633267.558783,189444177.683486,87941640.3589225,662177710.943148
"Malampa",153928934.142171,15507188.4345532,21622160.108477,59066892.0770121,10007212.4770279,4278467.72062961,43447013.3244708
"North West Malekula",16931467.9228893,1155044.41404342,2300807.59585809,5295177.97940814,312283.843543817,435535.97456806,7432618.11546779
"North East Malekula",11126293.8719369,1385685.72782598,3496870.63604297,1132969.47591539,292367.621935375,354656.929681367,4463743.48053585
"Central Malekula",12681279.5626876,1185544.7577994,2585432.68915327,3593893.14348369,393880.446333985,337534.645458837,4584993.88045844
"South West Malekula",10127183.7941262,992436.04335596,1120303.44665562,5134117.01150112,131089.204574882,187940.717256616,2561297.37078203
"South East Malekula",26375860.2238576,2385326.62754601,3349335.29765303,12038436.500047,2139504.10955118,492924.878824724,5970332.81023569
"South Malekula",16741355.561451,1479134.13875874,1598482.40391402,6542389.65124889,1036309.98061775,713307.523615876,5371731.86329568
"North Ambrym",28391009.2846838,1923967.2836706,1670436.87264443,14053562.1282749,3169939.51983815,1011356.40189925,6561747.07835642
"West Ambrym",3482127.76798838,404718.60195356,619462.705506815,1762765.99382921,342577.311832996,91817.4745969244,260785.680268881
"South East Ambrym",22046528.385208,3785125.0147862,4433292.7946111,8243488.67298422,979770.634148099,367747.062414208,4237104.20626421
"Paama",6025827.76734183,810205.824813351,447735.666437699,1270091.52031952,1209489.80465166,285646.112313749,2002658.83880585
"Shefa",1109880254.0432,119137608.107955,120449515.312479,406360968.71423,109794914.837746,55698286.5467569,298438960.524036
"Port Vila",102989286.848401,16022191.6220866,9879625.39641541,41251008.7416226,10042910.5751722,7638661.65643159,18154888.8566729
"Vermali",101252012.132527,3523899.10375133,9999747.17688261,35260413.1115113,2450326.09291013,687079.88555743,49330546.7619143
"Vermaul",57440245.102627,2389545.4024072,5534729.30522237,29470417.8523384,2510983.75799184,1209268.73603623,16325300.0486309
"Varisu",45475309.8604903,4297437.13359242,5357119.17124424,23188039.4703393,2102379.08651565,1648461.41513482,8881873.58366382
"South Epi",37422303.7913355,3008355.24084411,3284685.5380383,19433825.5653708,3008929.90278119,1694710.68770101,6991796.85660016
"North Tongoa",33035695.2161853,2483354.07313121,2328651.60557114,11644518.5470279,3471889.97303999,2303108.58512527,10804172.4322898
"Tongariki",28763858.3522059,1400419.73637376,1276096.24070731,9180567.81714503,2109633.39291293,1371424.48574779,13425716.6793191
"Makimae",32154001.1994674,1090020.48974787,1456628.74676597,8012890.25092202,8983801.55562582,1156282.37419333,11454377.7822124
"Nguna",26534878.3117916,3019254.84590094,3655817.36418651,5041050.51409333,935524.718096531,1387908.58862813,12495322.2808862
"Emau",14158587.5082137,910922.38558594,2128829.39039954,4572452.84712163,410751.02952176,849729.207290765,5285902.64829411
"Malorua",60212600.1935128,6482792.61634599,9467442.4465277,8321746.7970829,4260273.34927766,2514991.83469236,29165353.1495862
"North Efate",80426406.4719643,7952503.48602251,8890553.07391356,21216289.8733237,6509728.73213799,6689505.57523788,29167825.7313287
"Mele",57803796.5317225,4370237.54651495,6008122.24243366,8934269.48800619,6173307.44183364,2449072.42407685,29868787.3888572
"Tanvasoko",45856162.3636801,6100551.8082147,6646600.46508386,13892061.9592622,6145508.76471517,3985062.0573241,9086377.3090801
"Ifira",1522350.62118008,312014.046313337,363668.981329303,157466.128508949,53934.7871289027,124579.804601768,510686.873297822
"Pango",13239119.7825796,2296489.77104198,1544097.02715128,2886148.38897443,580567.79850326,901286.185349376,5030530.61155928
"Erakor",135636884.463803,18449315.0275514,20248672.7666491,56992132.0620187,13376979.7218424,8740418.39702673,17829366.4887152
"Eratap",126301812.955615,17981775.545291,9792045.58073064,51270923.7277475,27099985.2449524,6650096.26973653,13506986.587157
"Eton",109654942.3359,17046528.2272376,12586382.7932266,55634745.5718136,9567498.91278644,3696638.37686494,11123148.4539711
"Tafea",894337922.277817,43156430.9663303,61077410.9890567,372205406.767541,69642050.3687127,27964886.091536,320291737.094641
"North Erromango",36979808.40321,2105439.21214858,3083162.96238116,13575360.9570646,2576524.29180611,1558432.40188589,14080888.5779236
"South Erromango",7362935.24693954,506665.888634849,606842.734930931,2589858.63239234,467157.898079449,223413.510949504,2968996.58195247
"Aniwa",3158163.41977793,230990.125164219,663756.918486592,431408.027880232,32610.3706114191,198319.364977593,1601078.61265787
"North Tanna",187105017.388616,6345764.90552269,7522601.27304585,64930978.4781967,3973386.73686245,2978604.33474984,101353681.660238
"West Tanna",257486768.675201,12900025.1518117,18486232.918892,45794984.6089398,17044179.9659473,8636337.04031092,154625008.9893
"Middle Bush Tanna",161965895.623153,6562157.45997619,14161269.2780723,100685747.034214,20288351.5879687,3090792.48921138,17177577.7737099
"South West Tanna",108587507.036457,5282160.34752631,5589092.34634421,74071108.8186269,5933971.00205905,2636990.12919994,15074184.3927011
"Whitesands",85475573.960294,5774901.27213324,6881040.75272531,46817909.999999,14822642.1575135,4468614.50975508,6710465.26816787
"South Tanna",20238478.6780663,1685104.92783444,1821664.75604845,12718254.6600674,603464.383726668,910237.006074772,2499752.94431451
"Futuna",2026704.8789595,287582.081927363,705042.743345546,727962.492667453,78482.7779810826,148631.101663289,79003.6813747625
"Aneityum",23951068.9671427,1475639.59365071,1556704.30478435,9861833.05749165,3821279.19615692,3114514.20275778,4121098.61230126
