"Region","total_population","sex_male","sex_female","age_0-4","age_5-11","age_12-18","age_19-35","age_36-54","age_55+"
"National",348052.878886167,175343.919744804,172708.959141363,48763.4351603955,63746.1208940726,51216.3845849623,92337.8283374809,60359.9206560151,32557.3160338628
"Torba",13286.7717523727,6683.05128338438,6603.7204689883,1912.95944869368,2611.17362346028,1958.94042203515,3345.47654332088,2252.34783040876,1205.87388445394
"Torres",1439.13464556176,722.411153066221,716.72349249554,227.482181676272,330.814216804578,213.820958236128,313.253920609545,220.510435336955,133.252932898284
"Ureparapara",478.808949433024,249.679344876019,229.129604557005,59.5942469251403,99.6662405472174,59.5942469251403,120.215980866231,95.5562924834146,44.1819416858799
"Motalava",1712.08513698758,850.290892355458,861.794244632125,232.009636458006,292.372558925114,217.841945237788,444.760045993952,307.164458948439,217.936491424285
"West Vanualava",1588.68847204886,823.867096414311,764.821375634549,239.07166338718,306.695926764282,239.082113060888,382.312837279279,269.239869169705,152.286062387524
"East Vanualava",1836.24167878944,947.141712735172,889.099966054273,267.034737735584,295.575293225349,306.671418232614,489.660707377223,346.088097318862,131.211424899813
"Mota",505.452383157247,260.532854495409,244.919528661838,68.238679746914,115.504985214986,56.7809457032753,104.935506895294,95.5959936559428,64.396271940835
"East Gaua",3586.499645509,1758.7592281174,1827.7404173916,515.253865689214,726.399762509611,548.413104820172,947.220764213876,573.90132327048,275.310825005645
"West Gaua",1410.71739912728,716.503405169579,694.213993957701,227.641123258403,286.370169845978,211.928363569466,379.70750797577,218.071784526425,86.9984499512371
"Merelava",729.143441758482,353.865596154812,375.27784560367,76.6333138169656,157.774469623165,104.807326249674,163.409272109706,126.219575698532,100.29948426044
"Sanma",70430.4751235044,36182.4672471664,34248.007876338,9899.89039983608,13124.0545675398,10156.9165575238,19322.3138354404,11928.7250830856,5998.57468007864
"Luganville",19649.6592929199,9941.90300957481,9707.75628334513,2568.4483257165,3236.8581585123,2735.04425438646,5867.89513657142,3532.7206338933,1708.69278383995
"North West Santo",1473.64619089702,783.455674662661,690.190516234355,227.306056008024,279.451872263342,186.751928173689,394.053222482837,265.557674645858,120.525437323266
"Big Bay Coast",3769.62188424037,1969.03552252787,1800.5863617125,565.702263558333,753.955903126165,504.073333384895,1053.76328312654,618.033075684672,274.094025359773
"Big Bay Inland",2568.23581172683,1328.56170866985,1239.67410305698,391.709592557003,530.520159318832,392.121123671877,728.956244949557,341.224490349775,183.704200879786
"West Santo",2348.02855663561,1194.15278550692,1153.87577112869,352.743396116213,517.481639014923,317.900101527776,618.13363932936,371.620702804005,170.149077843329
"South Santo 1",5385.79622343122,2832.77042450403,2553.02579892719,804.980442255356,1218.05696974981,737.057511518492,1366.4811713784,842.374459735658,416.845668793515
"South Santo 2",5123.54881934176,2613.09418540267,2510.45463393909,756.913299683292,1070.35135440374,740.707028274335,1301.31941094567,852.809159055933,401.448566978792
"East Santo",8440.53089261334,4330.33630962588,4110.19458298746,1138.26824457559,1541.93217308823,1358.75011339243,2157.08577622248,1467.23895210109,777.255633233517
"South East Santo",10249.3026150994,5230.25716180785,5019.04545329157,1430.56550530001,1858.56780841454,1552.43958015148,2751.3648990042,1810.85139242404,845.513429805142
"Canal Fanafo",5998.13939485167,3143.85055387512,2854.28884097655,877.575033309168,1105.63015915035,876.219935049841,1725.08981629701,944.203640192291,469.420810853015
"West Malo",3117.21473717594,1619.3290189188,1497.88571825714,465.970762922987,596.218921567719,351.178254845965,789.336309109724,509.593703037411,404.916785692135
"East Malo",2306.75070457123,1195.72089208989,1111.02981248134,319.7074778336,415.029448929873,404.673393146555,568.834926023193,372.497199161592,226.008259476418
"Penama",41745.4100652423,21093.2722996181,20652.1377656241,6268.85328110812,8022.68604159544,6768.33886424081,9636.38755544649,6905.45754263775,4143.68678021369
"West Ambae",2645.10505223571,1348.67421640021,1296.4308358355,347.786825214907,485.276936755855,473.078006716241,585.999502431119,440.324935558954,312.638845558641
"North Ambae",2567.26198287333,1301.55606619794,1265.70591667539,331.53870554934,476.098954308126,556.851999597625,538.012889360655,403.929191971424,260.830242086153
"East Ambae",1879.53843588359,1008.0976767781,871.440759105489,249.998662758234,342.122715354301,265.602086185444,466.121588035067,328.170137324591,227.523246225956
"South Ambae",913.813235198296,466.666054837029,447.147180361267,141.415746050512,206.730622686369,142.887237885861,208.013992800191,141.785318687246,72.9803170881164
"North Maewo",3350.35988042659,1696.43086370277,1653.92901672382,488.164071015401,605.954904071356,468.734655253594,820.892815936346,626.598658318276,340.014775831622
"South Maewo",3032.31358416725,1547.36001893917,1484.95356522808,488.050471330349,622.464371631167,417.643190220397,744.076948093811,494.451133249436,265.627469642092
"North Pentecost",7934.75162543353,4128.01449477825,3806.73713065528,1211.973882974,1554.71989067294,1299.55535844777,1644.10365916233,1325.31136884532,899.087465331177
"Central Pentecost 1",5029.19747204516,2529.64865917045,2499.54881287471,782.374719851041,943.705685752396,772.335787054132,1238.61688336464,808.917627187194,483.246768835749
"Central Pentecost 2",6762.75439616066,3349.33289493893,3413.42150122173,1025.44466071378,1326.10710562038,1095.42528756796,1461.74800193305,1205.46201528366,648.56732504185
"South Pentecost",7630.31440081816,3717.49135387529,3912.82304694287,1202.10553565056,1459.50485474255,1276.22525531179,1928.80127432928,1130.50715621165,633.170324572332
"Malampa",47625.9886857346,24107.3775313191,23518.6111544155,6296.25403804729,8986.35587521167,7230.55032279996,11161.3748631798,8463.86217878275,5487.59140771307
"North West Malekula",5488.43875478311,2783.44902416143,2704.98973062168,763.767305651398,1116.46725507321,961.060630459814,1223.96064585785,901.742067590212,521.440850150635
"North East Malekula",6406.6908905057,3208.94030387054,3197.75058663516,818.926409790983,1266.98207606025,955.149819349851,1356.22841740982,1135.83537286555,873.568795029255
"Central Malekula",6582.92043905141,3271.51962862304,3311.40081042837,863.489104569403,1278.16359590753,783.014192970496,1614.1213213317,1299.80300656528,744.329217706988
"South West Malekula",4053.30947912852,2058.12225252326,1995.18722660526,552.206335222721,790.403813069006,533.375507701936,934.438112663385,786.706911417659,456.178799053811
"South East Malekula",5529.91817138101,2822.7475996644,2707.17057171661,842.299933325045,1165.46655415134,752.915209825412,1356.87055900965,912.405997128443,499.95991794112
"South Malekula",5329.04745680728,2728.71894058529,2600.32851622199,682.789311010339,1011.56175389361,810.491951449259,1215.77545851135,992.693951533173,615.735030409562
"North Ambrym",4513.88336760198,2246.97275109937,2266.91061650261,596.40533849521,755.706428123224,728.104218163011,1107.38558412555,784.701789891259,541.580008803719
"West Ambrym",5559.5187269909,2821.95086636375,2737.56786062715,676.873726402084,896.077950353449,1059.1599443419,1345.51806070228,908.379995055742,673.509050135435
"South East Ambrym",2537.43817757296,1340.33502906495,1197.10314850801,306.174570364837,441.522127221396,324.571325665728,650.45670528152,494.084285223943,320.629163815537
"Paama",1624.82322191172,824.62113536307,800.202086548649,193.322003215274,264.004321358657,322.70752287255,356.619998286742,247.508801511489,240.660574667007
"Shefa",113793.897787538,56675.5088336129,57118.3889539255,14669.3669074337,18544.9799385328,15277.9758989624,33835.8315276601,21829.6937277516,10564.1765678198
"Port Vila",38801.5043907089,19469.4230257093,19332.0813649996,4545.81715243585,5583.57698085824,4779.97905690999,12634.3084069307,7907.22834363419,3350.59444993994
"Vermali",2829.45074358279,1343.94396854073,1485.50677504206,344.172135346184,542.108804930334,480.613545303578,712.979313761321,434.190992089521,315.385952151845
"Vermaul",2239.22502473362,1099.3048561665,1139.92016856712,355.350052849074,456.32827256016,271.728852440499,619.601168971088,369.46313194184,166.753545970961
"Varisu",1699.16581276072,403.191887773729,1295.97392498699,417.591598051363,511.844247141325,268.358236992255,678.095447619454,459.481664313568,291.921399264746
"South Epi",2557.04851226475,1313.83635981556,1243.21215244919,350.845281457248,495.852892120271,481.511917415235,640.834438807262,354.84964870631,233.154333758431
"North Tongoa",1508.90770450048,769.535993748132,739.371710752352,176.74584334334,315.594326066112,232.420789846622,338.195424036678,244.568897438242,201.38242376949
"Tongariki",1144.18153201921,574.261888461257,569.919643557958,138.951836905559,216.026683939112,179.117602261072,263.791377875398,173.689796131949,172.604234906124
"Makimae",1001.72014723783,539.455583816146,462.264563421685,106.737299128251,179.001840200209,172.512583462709,236.19505707609,183.274776739289,123.998590631284
"Nguna",1870.63754644804,933.22867540676,937.408871041281,207.964732817408,381.44285165002,229.910759898642,403.388878731254,320.830014949469,327.10030840125
"Emau",807.585724309822,413.106944456992,394.47877985283,108.481664459528,172.036578991373,105.194341294088,218.059103307537,107.385890071048,96.4281461862474
"Malorua",5055.7706354943,2578.11719570453,2477.65343978977,650.299176799615,864.802871860867,729.041039543619,1296.52549862971,1000.56470417811,514.537344482368
"North Efate",4405.19640161633,2171.30820320049,2233.88819841584,504.012812817665,751.183503065664,777.174334920478,1102.34011256703,769.926754480503,500.558883764993
"Mele",6888.0832089431,3450.64656643998,3437.43664250312,884.738436801677,1059.06132052711,910.312280382213,1960.56992240617,1337.75084601304,735.650402812903
"Tanvasoko",9144.25681252584,4617.38768840385,4526.86912412199,1232.01398037737,1369.10648787227,1175.74926396458,2963.7728940448,1734.7126108621,668.901575404721
"Ifira",1410.42274951096,682.816773419033,727.605976091927,188.852206279129,207.012870602618,176.666328966153,416.717859808625,262.472230968891,158.701252885545
"Pango",2204.51295765632,1083.76040849159,1120.75254916473,285.111272705792,362.248911826955,272.943495481486,619.208854569091,454.987885525072,210.012537547922
"Erakor",16493.9106462183,8307.07417601141,8186.8364702069,2250.02067581993,2742.26833912396,2294.81035871949,4775.34081958484,3112.71812541909,1318.752327551
"Eratap",9125.80659223213,4579.77916632101,4546.02742591112,1225.56225729857,1500.84305662565,1185.77661060306,2649.65250029879,1797.21762014941,766.754547256647
"Eton",4606.5106447749,2345.3294717259,2261.181173049,696.098491740104,834.639098570503,554.154500556606,1306.2544486343,804.379794140003,410.984311133385
"Tafea",61170.3354717748,30602.2425497031,30568.0929220717,9716.11108527667,12456.8708477327,9823.66251940018,15036.4440124331,8979.83429334858,5157.41271358366
"North Erromango",2246.28685916169,1188.8582123083,1057.42864685339,345.526494270336,472.409635943267,376.313527508867,546.863835742065,325.423996322327,179.74936937483
"South Erromango",1013.60451821149,504.169520097401,509.434998114084,130.320580912905,184.291730583906,242.21198876742,222.466446204858,139.5351674421,94.7786043002946
"Aniwa",538.365576653472,247.94661952484,290.418957128632,83.7967741912653,99.8673884197271,64.2824569138473,115.938002648189,101.015289436046,73.4656650443969
"North Tanna",5434.67125257786,2689.85014891445,2744.82110366341,978.695197202925,1174.03696539648,876.109835888471,1261.80358906871,771.869810587607,372.155854433661
"West Tanna",22741.9667093492,11427.374160149,11314.5925492002,3508.21274931775,4421.1431687299,3640.59944341149,5780.93282484167,3485.5288457536,1905.54967729486
"Middle Bush Tanna",8186.60994297228,4068.44523882712,4118.16470414516,1232.35663112211,1710.72967462275,1349.41643480817,2048.95213720335,1138.37338403719,706.781681178703
"South West Tanna",7905.67316763517,3928.60484986564,3977.06831776953,1399.14558571852,1714.27057313585,1220.52445763172,1960.66799749697,1090.26251064534,520.802043006777
"Whitesands",8995.93549801614,4425.11126140022,4570.82423661592,1378.49263275578,1813.75487935524,1466.06576699949,2098.36153628723,1312.3922547814,926.868427837002
"South Tanna",2014.3550298725,1011.04169273916,1003.31333713334,329.755372813878,464.228074719536,260.666882107125,446.157440113248,302.916543644714,210.630716473988
"Futuna",473.963108572271,252.698996846721,221.26411172555,77.9205750537817,83.5626232473673,102.123036344213,119.813689067574,58.1935097039888,32.3496751553457
"Aneityum",1618.90380875273,858.141849030269,760.76195972246,251.888491917416,318.57613357863,225.348689019371,434.486513759245,254.322980994266,134.280999483801
