"Region","total_road_financial","asphalt_financial","chips_seal_financial","concrete_financial","earth_financial","gravel_financial"
"National",7863458.5,594300,3482409,564620,1493065.5,1729064
"Malampa",34063.5,0,0,0,34063.5,0
"Paama",34063.5,0,0,0,34063.5,0
"Shefa",7238595,594300,3482409,536620,1134252,1491014
"Port Vila",6074617.5,594300,3482409,436030,70864.5,1491014
"Tongariki",51271.5,0,0,0,51271.5,0
"Nguna",1112706,0,0,100590,1012116,0
"Tafea",590800,0,0,28000,324750,238050
"Aniwa",342475,0,0,28000,76425,238050
"Futuna",33450,0,0,0,33450,0
"Aneityum",214875,0,0,0,214875,0
